subproject,gem_id,GEX_library_name,CellPlex_library_name,sample_id,CMO_id
POST_12,hik7kuah_mz8e52qv,CD45pos_GEX1,CD45pos_CellPlex1,Z1_WT_IMQ_CD45pos,CMO301
POST_12,hik7kuah_mz8e52qv,CD45pos_GEX1,CD45pos_CellPlex1,Z1_KO_IMQ_CD45pos,CMO302
POST_12,hik7kuah_mz8e52qv,CD45pos_GEX1,CD45pos_CellPlex1,Z2_WT_IMQ_CD45pos,CMO303
POST_12,hik7kuah_mz8e52qv,CD45pos_GEX1,CD45pos_CellPlex1,Z2_KO_IMQ_CD45pos,CMO304
POST_12,hik7kuah_mz8e52qv,CD45pos_GEX1,CD45pos_CellPlex1,Z1_WT_CD45pos,CMO305
POST_12,hik7kuah_mz8e52qv,CD45pos_GEX1,CD45pos_CellPlex1,Z2_WT_CD45pos,CMO306
POST_12,n3euyxvh_dwdq9otr,CD45pos_GEX2,CD45pos_CellPlex2,Z1_WT_IMQ_CD45pos,CMO301
POST_12,n3euyxvh_dwdq9otr,CD45pos_GEX2,CD45pos_CellPlex2,Z1_KO_IMQ_CD45pos,CMO302
POST_12,n3euyxvh_dwdq9otr,CD45pos_GEX2,CD45pos_CellPlex2,Z2_WT_IMQ_CD45pos,CMO303
POST_12,n3euyxvh_dwdq9otr,CD45pos_GEX2,CD45pos_CellPlex2,Z2_KO_IMQ_CD45pos,CMO304
POST_12,n3euyxvh_dwdq9otr,CD45pos_GEX2,CD45pos_CellPlex2,Z1_WT_CD45pos,CMO305
POST_12,n3euyxvh_dwdq9otr,CD45pos_GEX2,CD45pos_CellPlex2,Z2_WT_CD45pos,CMO306
POST_12,qa7vxsq4_7bfnyfsk,CD45neg_GEX1,CD45neg_CellPlex1,Z1_WT_IMQ_CD45neg,CMO307
POST_12,qa7vxsq4_7bfnyfsk,CD45neg_GEX1,CD45neg_CellPlex1,Z1_KO_IMQ_CD45neg,CMO308
POST_12,qa7vxsq4_7bfnyfsk,CD45neg_GEX1,CD45neg_CellPlex1,Z2_WT_IMQ_CD45neg,CMO309
POST_12,qa7vxsq4_7bfnyfsk,CD45neg_GEX1,CD45neg_CellPlex1,Z2_KO_IMQ_CD45neg,CMO310
POST_12,qa7vxsq4_7bfnyfsk,CD45neg_GEX1,CD45neg_CellPlex1,Z1_WT_CD45neg,CMO311
POST_12,qa7vxsq4_7bfnyfsk,CD45neg_GEX1,CD45neg_CellPlex1,Z2_WT_CD45neg,CMO312
POST_12,pehhzg9b_i6ruv9ly,CD45neg_GEX2,CD45neg_CellPlex2,Z1_WT_IMQ_CD45neg,CMO307
POST_12,pehhzg9b_i6ruv9ly,CD45neg_GEX2,CD45neg_CellPlex2,Z1_KO_IMQ_CD45neg,CMO308
POST_12,pehhzg9b_i6ruv9ly,CD45neg_GEX2,CD45neg_CellPlex2,Z2_WT_IMQ_CD45neg,CMO309
POST_12,pehhzg9b_i6ruv9ly,CD45neg_GEX2,CD45neg_CellPlex2,Z2_KO_IMQ_CD45neg,CMO310
POST_12,pehhzg9b_i6ruv9ly,CD45neg_GEX2,CD45neg_CellPlex2,Z1_WT_CD45neg,CMO311
POST_12,pehhzg9b_i6ruv9ly,CD45neg_GEX2,CD45neg_CellPlex2,Z2_WT_CD45neg,CMO312
